Step,Wave,R1,T1,R2,T2,Time,Beam,R1/R2,T1/T2,R2Ad,T2Ad,Temp1,Temp2,Temp3,Temp4
117192.0,1100.0,8.798706200000001e-12,1.1180769999999999e-11,7.200673399999999e-12,1.0789242e-11,7.933283567428589,-7.8351e-07,1.2219282435445553,1.036288740209924,9.190276320659596e-06,13.770394762032394,23.417932416148403,-15.952848629570497,16.58374425957021,22.274929887919257
129203.0,1200.0,7.7556296e-12,1.0590314000000001e-11,8.1826658e-12,1.3195781999999998e-11,10.503712892532349,-7.8765e-07,0.9478120932178361,0.8025529673042493,1.0388707928648512e-05,16.753357455722718,23.41179045361565,-15.954508960717419,16.581985403121337,22.282217642685907
140447.0,1300.0,9.099265999999999e-12,1.246637e-11,7.0585594e-12,1.3807473999999998e-11,13.038217544555664,-7.8234e-07,1.289110919715431,0.9028711551439461,9.02236802413273e-06,17.648942914845207,23.411778222883925,-15.933997494802554,16.56935225192541,22.260302930171918
262667.0,1400.0,2.425946e-11,2.4147447999999996e-11,2.0429634000000003e-11,3.188424800000001e-11,19.618462085723877,-7.8172e-07,1.1874642492371619,0.7573472643921221,2.613420917975746e-05,40.78729980044006,23.41056296771262,-15.94185765245777,16.5601486666705,22.25983319876184
276257.0,1500.0,4.204486799999999e-12,3.5286093999999995e-12,4.1325444e-12,4.8158978e-12,22.260669469833374,-7.8238e-07,1.0174087421783053,0.7327002246600831,5.282016922722973e-06,6.155445946982284,23.40704632100517,-15.953329336227284,16.556941283182027,22.252441006160154
289837.0,1600.0,6.473427200000001e-12,8.0403524e-12,5.512773599999999e-12,7.661851199999998e-12,24.893685817718506,-7.808e-07,1.1742595777922027,1.0494007505653464,7.06041700819672e-06,9.812821721311474,23.418025157962177,-15.949965191147669,16.549934441126993,22.242626433143926
303532.0,1700.0,1.3277258000000002e-11,2.1648524e-11,1.0848620000000001e-11,2.0039944e-11,27.553987741470337,-7.8089e-07,1.223866076975689,1.0802686873775695,1.3892635326358387e-05,25.66295380911524,23.4171304514108,-15.960358101671886,16.55504336861395,22.25442039540718
317215.0,1800.0,1.6619703999999997e-11,2.178338e-11,1.3434288000000001e-11,2.2046384e-11,30.209134101867676,-7.8238e-07,1.2371108911763686,0.9880704246102218,1.7171052429765586e-05,28.178613972749815,23.40429637879032,-15.947216932383583,16.559021009716332,22.2599688815086
330852.0,1900.0,1.7299694e-11,1.9400683999999996e-11,1.3954404000000002e-11,1.993042e-11,32.82623839378357,-7.8297e-07,1.2397300522473047,0.9734207307221824,1.7822399325644664e-05,25.4548961007446,23.398315105595998,-15.947039409032243,16.549418624597024,22.216010640850016
344489.0,2000.0,1.747449e-11,1.7789868e-11,1.4704082e-11,1.8940982e-11,35.46311068534851,-7.7994e-07,1.1884108100050041,0.9392262766523931,1.8852837397748544e-05,24.285178347052337,23.40722974403718,-15.937390604384348,16.54828036841525,22.23325877382308
358127.0,2100.0,1.8229794e-11,2.0262718e-11,1.3118804e-11,2.1764006e-11,38.100783824920654,-7.8604e-07,1.3895926793326585,0.9310196845194768,1.6689740980102796e-05,27.688165996641395,23.416459875369526,-15.941634782076221,16.547642641208483,22.249452120899264
371764.0,2200.0,2.0265503999999997e-11,2.483141e-11,1.7495804000000002e-11,2.6845304e-11,40.71427822113037,-7.8109e-07,1.1583065288111363,0.9249815163203219,2.2399216479535012e-05,34.36902789691329,23.418377972364283,-15.96006567070674,16.56017928525648,22.256530721284662
385401.0,2300.0,2.8761459999999996e-11,3.511929e-11,2.4429992000000002e-11,3.9501722e-11,43.34889316558838,-7.8147e-07,1.177301245125254,0.8890571909751175,3.126158649724238e-05,50.54796985168977,23.416561498151168,-15.937709324677257,16.557803386642945,22.25175397186996
399038.0,2400.0,3.6193846e-11,4.4575568000000003e-11,3.1005464000000003e-11,4.911893e-11,45.98642110824585,-7.8499e-07,1.1673376666770732,0.9075028303751732,3.949790952750991e-05,62.57268245455356,23.426237757691183,-15.94185309878634,16.559707781177224,22.249746935424696
117192.0,1100.0,7.3253956e-12,9.908212999999999e-12,7.5406904e-12,9.9965026e-12,59.459802865982056,-7.8449e-07,0.9714489272759428,0.9911679510792104,9.612219913574424e-06,12.742676898367092,23.414735174318764,-15.93664293684401,16.56103987117376,22.244056542479143
129203.0,1200.0,8.2174824e-12,1.0363816000000001e-11,7.609257600000001e-12,1.2128858e-11,62.065138816833496,-7.7778e-07,1.0799322130978977,0.8544758294639117,9.783303247705007e-06,15.594201445138728,23.419174359229203,-15.933618732583739,16.5822206924974,22.304104493646093
140447.0,1300.0,8.313406e-12,1.156783e-11,7.726497e-12,1.4208315999999999e-11,64.59804582595825,-7.7792e-07,1.075960554957829,0.8141591163935262,9.932251388317565e-06,18.264495063759767,23.423591650803587,-15.935480624417153,16.58135871148818,22.289058032808043
262667.0,1400.0,2.3619974e-11,2.518606e-11,2.0185208e-11,3.118982999999999e-11,71.18569111824036,-7.8154e-07,1.1701625269355658,0.8075087296083373,2.582747907976559e-05,39.908168487857296,23.43521320983956,-15.945601703688453,16.594205158419697,22.29892312043603
276257.0,1500.0,4.9136086e-12,5.070708e-12,4.1446234000000005e-12,3.5321513999999996e-12,73.83089876174927,-7.8036e-07,1.1855380153477875,1.4355862548813736,5.311168435081245e-06,4.526310164539442,23.435964587973217,-15.938086238406697,16.587231356403606,22.30508348369392
289837.0,1600.0,6.234329800000001e-12,9.8780386e-12,6.4901252e-12,8.203147600000001e-12,76.46936798095703,-7.8416e-07,0.9605869852865089,1.2041766260551008,8.276531830238728e-06,10.46106355845746,23.44736846742336,-15.947048244362293,16.588533597970695,22.294554910107138
303532.0,1700.0,1.2694614000000001e-11,1.9288923999999995e-11,1.0936020000000001e-11,2.0756690000000003e-11,79.09524154663086,-7.8193e-07,1.1608074966944097,0.929287087681128,1.3985932244574325e-05,26.545458033327797,23.43594606812195,-15.936295541289667,16.579250682964073,22.276157859905652
317215.0,1800.0,1.8013789999999998e-11,2.1611269999999997e-11,1.3147227999999999e-11,2.2009131999999997e-11,81.72970175743103,-7.8515e-07,1.370158789366093,0.9819228672898141,1.6744861491434756e-05,28.031754441826397,23.441103267504786,-15.932304545219779,16.58663811203155,22.298278527280047
330852.0,1900.0,1.714124e-11,1.6350414e-11,1.4087273999999998e-11,1.9380567999999997e-11,84.36624217033386,-7.808e-07,1.2167889969343963,0.8436498868351021,1.804210297131147e-05,24.821424180327867,23.436267181768358,-15.936064532975081,16.587823190858217,22.30122496981903
