TimeH,R1H,T1H,R2H,T2H,TimeI,R1I,T1I,R2I,T2I
62.99265313,1.04E-11,2.53E-05,1.04E-11,2.76E-05,62.3822875,1.14E-11,1.58E-11,1.50E-11,2.42E-11
63.98227191,1.10E-11,2.65E-05,1.07E-11,2.80E-05,63.34271717,1.14E-11,1.58E-11,1.51E-11,2.42E-11
64.95003819,1.00E-11,2.81E-05,9.32E-12,2.72E-05,64.314821,1.08E-11,1.54E-11,1.44E-11,2.45E-11
65.94794416,1.07E-11,2.78E-05,9.57E-12,2.63E-05,65.26751161,1.05E-11,1.55E-11,1.40E-11,2.50E-11
66.92883611,1.11E-11,2.55E-05,1.03E-11,2.66E-05,66.23960471,1.06E-11,1.68E-11,1.44E-11,2.49E-11
67.89687943,1.12E-11,2.52E-05,9.57E-12,2.71E-05,67.19365096,1.09E-11,1.57E-11,1.47E-11,2.50E-11
68.89398956,1.10E-11,2.57E-05,9.98E-12,2.74E-05,68.16508055,1.09E-11,1.58E-11,1.51E-11,2.44E-11
69.8643775,1.05E-11,2.74E-05,1.10E-11,2.80E-05,69.12747979,1.10E-11,1.53E-11,1.48E-11,2.41E-11
70.86218977,1.03E-11,2.60E-05,9.92E-12,2.80E-05,70.09076571,1.09E-11,1.45E-11,1.40E-11,2.51E-11
71.83338523,1.10E-11,2.54E-05,1.04E-11,2.69E-05,71.04269457,1.07E-11,1.61E-11,1.47E-11,2.49E-11
72.81051469,1.11E-11,2.50E-05,1.05E-11,2.70E-05,72.01365757,1.09E-11,1.57E-11,1.54E-11,2.44E-11
73.79117227,1.06E-11,2.41E-05,1.13E-11,2.74E-05,72.97547364,1.16E-11,1.56E-11,1.44E-11,2.50E-11
74.75901961,9.95E-12,2.53E-05,1.12E-11,2.69E-05,73.95752001,1.21E-11,1.50E-11,1.48E-11,2.50E-11
75.74978757,1.09E-11,2.59E-05,1.17E-11,2.65E-05,74.90873027,1.21E-11,1.52E-11,1.45E-11,2.52E-11
76.71668792,1.06E-11,2.44E-05,1.13E-11,2.66E-05,75.84954667,1.13E-11,1.60E-11,1.45E-11,2.43E-11
77.68341637,1.06E-11,2.75E-05,1.04E-11,2.72E-05,76.8118372,1.10E-11,1.57E-11,1.47E-11,2.46E-11
78.66090155,1.11E-11,2.74E-05,1.07E-11,2.75E-05,77.75460768,1.13E-11,1.47E-11,1.41E-11,2.50E-11
79.61958814,1.07E-11,2.54E-05,1.08E-11,2.70E-05,78.74658608,1.11E-11,1.37E-11,1.42E-11,2.44E-11
80.60000467,1.15E-11,2.53E-05,1.06E-11,2.71E-05,79.71020007,1.02E-11,1.57E-11,1.35E-11,2.38E-11
81.57524514,1.09E-11,2.47E-05,1.06E-11,2.78E-05,80.67107964,1.03E-11,1.58E-11,1.35E-11,2.44E-11
82.57513094,1.01E-11,2.63E-05,9.78E-12,2.74E-05,81.63367462,1.11E-11,1.45E-11,1.39E-11,2.41E-11
83.51390862,1.08E-11,2.67E-05,1.08E-11,2.66E-05,82.60801077,1.16E-11,1.38E-11,1.46E-11,2.45E-11
84.51057887,1.12E-11,2.74E-05,1.10E-11,2.75E-05,83.60106611,1.14E-11,1.50E-11,1.41E-11,2.41E-11
85.48159742,1.13E-11,2.96E-05,1.12E-11,2.74E-05,84.55359268,1.15E-11,1.63E-11,1.45E-11,2.37E-11
86.45208192,1.02E-11,2.89E-05,1.14E-11,2.76E-05,85.52554369,1.08E-11,1.58E-11,1.36E-11,2.47E-11
87.41968393,1.04E-11,2.66E-05,1.11E-11,2.80E-05,86.49386621,1.07E-11,1.48E-11,1.42E-11,2.47E-11
88.39694166,1.01E-11,2.80E-05,1.14E-11,2.87E-05,87.50515485,1.06E-11,1.57E-11,1.44E-11,2.44E-11
89.38814688,1.10E-11,2.54E-05,1.06E-11,2.79E-05,88.45474315,1.11E-11,1.57E-11,1.52E-11,2.52E-11
90.36560655,1.12E-11,2.39E-05,1.05E-11,2.69E-05,89.42598891,1.11E-11,1.66E-11,1.38E-11,2.46E-11
91.33213353,1.08E-11,2.46E-05,9.71E-12,2.76E-05,90.36790109,1.12E-11,1.48E-11,1.41E-11,2.46E-11
92.30406237,1.01E-11,2.55E-05,1.02E-11,2.73E-05,91.34447861,1.06E-11,1.66E-11,1.44E-11,2.50E-11
93.28789115,1.04E-11,2.74E-05,9.73E-12,2.69E-05,92.3045373,1.08E-11,1.70E-11,1.41E-11,2.50E-11
94.289258,1.03E-11,2.57E-05,1.02E-11,2.75E-05,93.26565409,1.20E-11,1.80E-11,1.36E-11,2.49E-11
95.25761127,1.04E-11,2.40E-05,1.01E-11,2.74E-05,94.23710179,1.15E-11,1.66E-11,1.37E-11,2.41E-11
96.25483727,1.06E-11,2.60E-05,1.04E-11,2.69E-05,95.20902228,1.15E-11,1.65E-11,1.41E-11,2.42E-11
97.24696898,1.06E-11,2.64E-05,1.01E-11,2.71E-05,96.17022276,1.11E-11,1.69E-11,1.42E-11,2.45E-11
98.22852039,1.07E-11,2.47E-05,1.04E-11,2.71E-05,97.14206123,1.10E-11,1.55E-11,1.43E-11,2.43E-11
99.21999454,1.03E-11,2.56E-05,1.05E-11,2.65E-05,98.08609533,1.14E-11,1.42E-11,1.47E-11,2.43E-11
100.2006531,9.82E-12,2.55E-05,1.08E-11,2.72E-05,99.03811979,1.08E-11,1.50E-11,1.46E-11,2.50E-11
101.1788495,9.87E-12,2.57E-05,1.05E-11,2.79E-05,100.0107424,1.05E-11,1.40E-11,1.45E-11,2.50E-11
102.2063031,1.01E-11,2.63E-05,1.07E-11,2.74E-05,100.9619429,1.09E-11,1.46E-11,1.45E-11,2.45E-11
103.1770823,1.01E-11,2.65E-05,1.10E-11,2.83E-05,101.9051478,1.11E-11,1.62E-11,1.33E-11,2.39E-11
104.1345415,1.02E-11,2.68E-05,1.12E-11,2.83E-05,102.8756356,1.20E-11,1.60E-11,1.38E-11,2.35E-11
105.1120625,1.09E-11,2.78E-05,1.15E-11,2.79E-05,103.816587,1.15E-11,1.43E-11,1.39E-11,2.49E-11
106.088207,1.13E-11,2.53E-05,1.09E-11,2.73E-05,104.7988584,1.23E-11,1.47E-11,1.46E-11,2.50E-11
107.0694585,1.08E-11,2.57E-05,9.92E-12,2.87E-05,105.749521,1.09E-11,1.60E-11,1.41E-11,2.45E-11
108.0471585,1.05E-11,2.63E-05,1.08E-11,2.80E-05,106.7540996,1.05E-11,1.65E-11,1.45E-11,2.42E-11
109.0177767,9.89E-12,2.54E-05,1.11E-11,2.82E-05,107.7148354,1.06E-11,1.52E-11,1.40E-11,2.41E-11
109.9765024,1.03E-11,2.45E-05,1.13E-11,2.75E-05,108.6856563,1.06E-11,1.57E-11,1.41E-11,2.45E-11
110.9540019,1.11E-11,2.44E-05,1.01E-11,2.72E-05,109.6465104,1.05E-11,1.59E-11,1.39E-11,2.44E-11
111.9046712,1.13E-11,2.54E-05,1.06E-11,2.75E-05,110.6185341,1.06E-11,1.64E-11,1.35E-11,2.42E-11
112.8923259,1.15E-11,2.62E-05,1.03E-11,2.70E-05,111.5853033,1.14E-11,1.68E-11,1.43E-11,2.44E-11
113.8457186,1.12E-11,2.69E-05,1.08E-11,2.71E-05,112.5269842,1.15E-11,1.74E-11,1.44E-11,2.44E-11
114.8199601,1.09E-11,2.68E-05,1.06E-11,2.73E-05,113.5002193,1.10E-11,1.63E-11,1.37E-11,2.51E-11
115.8069024,9.20E-12,2.62E-05,1.08E-11,2.74E-05,114.4602547,1.11E-11,1.55E-11,1.25E-11,2.54E-11
116.7684245,9.26E-12,2.59E-05,1.09E-11,2.78E-05,115.4018734,1.16E-11,1.61E-11,1.29E-11,2.51E-11
117.7856779,1.02E-11,2.67E-05,1.06E-11,2.78E-05,116.3752527,1.15E-11,1.47E-11,1.29E-11,2.51E-11
118.7868655,1.05E-11,2.66E-05,1.07E-11,2.73E-05,117.335279,1.07E-11,1.41E-11,1.41E-11,2.41E-11
119.7541182,1.09E-11,2.69E-05,1.04E-11,2.71E-05,118.305316,1.06E-11,1.55E-11,1.40E-11,2.42E-11
120.7456203,1.11E-11,2.71E-05,1.05E-11,2.77E-05,119.254375,1.10E-11,1.42E-11,1.45E-11,2.47E-11
