Step,Wave,R1,T1,R2,T2,Time,Beam,R1/R2,T1/T2,R2Ad,T2Ad,Temp1,Temp2,Temp3,Temp4
117192.0,1100.0,7.8995144e-12,1.1250808e-11,6.4144526e-12,1.2072606000000002e-11,8.025413990020752,-7.7912e-07,1.231518087763249,0.9319286987415971,8.232945630968273e-06,15.495181743505496,21.703454477242758,-16.750340235475278,15.78961555771383,20.12738257822633
129203.0,1200.0,9.4445896e-12,1.4028756e-11,6.611628e-12,1.3259111999999999e-11,10.625605583190918,-7.8123e-07,1.4284816992123575,1.058046421208298,8.463100495372681e-06,16.972097845704848,21.708277653495372,-16.767597960009823,15.797532226350029,20.134856625948714
140447.0,1300.0,7.7250762e-12,1.3999697999999999e-11,5.3305194e-12,1.3485610000000002e-11,13.165788412094116,-7.8048e-07,1.4492164121942788,1.0381212269967763,6.8297962792127924e-06,17.27861059860599,21.69643311178777,-16.753096098165486,15.783887220408474,20.12715944101444
262667.0,1400.0,2.0604428e-11,3.4147731999999996e-11,1.4318935999999998e-11,3.6800142e-11,19.756277322769165,-7.8063e-07,1.4389636213193495,0.9279239194240065,1.834279492205014e-05,47.141593328465476,21.704191041806098,-16.749486785501233,15.790013582640256,20.156672039083844
276257.0,1500.0,3.7785166e-12,5.8127857999999995e-12,4.0467462000000005e-12,6.369903e-12,22.38728618621826,-7.8041e-07,0.9337172170570025,0.9125391391360276,5.185410489358158e-06,8.162251893235608,21.71083590541815,-16.748627325126563,15.790382856545136,20.1348591736525
289837.0,1600.0,4.720163e-12,1.6005824e-11,3.5644512e-12,1.1992139999999998e-11,25.017446279525757,-7.7902e-07,1.3242327458431749,1.3346928905099509,4.575558008780263e-06,15.393879489615157,21.69728394890609,-16.727976954777716,15.794134027116854,20.150376852775707
303532.0,1700.0,1.3392364000000003e-11,3.27962e-11,8.235956399999999e-12,2.6963768000000004e-11,27.647642135620117,-7.8143e-07,1.6260848588270822,1.2163062669876108,1.0539595869111755e-05,34.50567293295625,21.7122122197743,-16.750550055319366,15.801059789248711,20.170758542830754
317215.0,1800.0,1.603635e-11,3.4127618e-11,1.0917546000000001e-11,2.9066319999999998e-11,30.287867546081543,-7.8099e-07,1.4688603098168762,1.1741293015421286,1.3979111128183463e-05,37.21727550928949,21.704615109133442,-16.742242482820075,15.796571535572014,20.158407475666593
330852.0,1900.0,1.8120369999999998e-11,3.2203131999999995e-11,1.1443348e-11,2.7517348e-11,32.898561239242554,-7.8034e-07,1.58348500805883,1.1702847236586897,1.4664566727323987e-05,35.26328010867058,21.70339685322,-16.729041064447756,15.791315077963304,20.148825220905906
344489.0,2000.0,1.8884206e-11,3.2801413999999995e-11,1.1256473999999999e-11,2.9394146e-11,35.53879189491272,-7.8103e-07,1.67763066836027,1.1159165501865576,1.4412345236418573e-05,37.63510492554703,21.708255038321738,-16.750996232983653,15.808692459424549,20.145991343215258
358127.0,2100.0,1.9288506000000002e-11,3.6829198e-11,1.137158e-11,3.2810354e-11,38.17621994018555,-7.8111e-07,1.6962028143846328,1.1224870661255286,1.455823123503732e-05,42.0047803766435,21.70988245054076,-16.74985637842758,15.804049670829215,20.14771070073118
371764.0,2200.0,2.258116e-11,4.8365675999999995e-11,1.5639157999999996e-11,4.2853739999999993e-11,40.8063850402832,-7.7987e-07,1.4438859176433927,1.1286220525909758,2.005354482157282e-05,54.94985061612833,21.700613551712934,-16.741303783540445,15.788160816453171,20.1364610418687
385401.0,2300.0,3.1995962e-11,6.265985e-11,2.1253868e-11,5.8327848e-11,43.439945697784424,-7.7817e-07,1.5054183078581274,1.0742698753432494,2.7312628345991238e-05,74.95514861791126,21.69941031721669,-16.74093478611536,15.798804665559032,20.13700262280622
399038.0,2400.0,4.0188517999999997e-11,8.001076199999999e-11,2.7763857999999997e-11,7.4594188e-11,46.09033942222595,-7.7956e-07,1.4475120136401793,1.0726138878272928,3.561478013238237e-05,95.6875519523834,21.707803317713967,-16.740960451143167,15.795110212567693,20.131885259881756
117192.0,1100.0,8.936906599999998e-12,1.298046e-11,6.533823399999999e-12,1.2801271999999998e-11,59.57185220718384,-7.8102e-07,1.3677912690447065,1.0139976714813967,8.365756830810989e-06,16.3904535095132,21.720209486517035,-16.740909162119692,15.805865395363128,20.154841882289645
