Step,Wave,R1,T1,R2,T2,Time,Beam,R1/R2,T1/T2,R2Ad,T2Ad,Temp1,Temp2,Temp3,Temp4
117192.0,1100.0,1.0888767999999999e-11,1.2962579999999998e-11,3.4205666000000003e-12,5.8125996e-12,7.914082765579224,-1.09032e-06,3.1833229032874253,2.2300830767699873,3.1372134786117837e-06,5.3310950913493285,22.74044039115023,-16.325188395143016,17.04648351609177,20.764605439278114
129203.0,1200.0,1.1858302e-11,1.9844738e-11,4.2099935999999996e-12,8.422939399999999e-12,10.524025440216064,-1.08888e-06,2.8167030942754883,2.3560347590770987,3.866352215120124e-06,7.7354156564543395,22.746803794086418,-16.321234476580116,17.04715165988455,20.763225668069992
140447.0,1300.0,1.2593716e-11,2.0413216e-11,4.673978e-12,9.0733754e-12,13.076477766036987,-1.08884e-06,2.6944320234284374,2.249792949159802,4.292621505455347e-06,8.33306583152713,22.7649273635638,-16.33936615393236,17.05760303441673,20.773293743293436
262667.0,1400.0,3.3156988e-11,4.7099822e-11,1.4280553999999998e-11,2.3497756000000003e-11,19.687907457351685,-1.0883e-06,2.321827850656214,2.0044391472955967,1.3121891022695945e-05,21.591248736561614,22.75539735098596,-16.33338158129402,17.04147969879284,20.762186762249485
276257.0,1500.0,7.011663399999999e-12,6.352766399999999e-12,3.726647e-12,3.970626799999999e-12,22.32441258430481,-1.09257e-06,1.8814938468816602,1.5999404426525303,3.4108999881014498e-06,3.634208151422792,22.749359579297675,-16.32245340057301,17.038274375660762,20.76501607636692
289837.0,1600.0,9.196965600000001e-12,1.6898034e-11,3.7268216e-12,5.9459648e-12,24.959503412246704,-1.0891e-06,2.467777260923893,2.8419330703067733,3.4219278303186116e-06,5.45952143972087,22.760728880229294,-16.32976808936303,17.02191095930209,20.7686099071326
303532.0,1700.0,1.8906942e-11,3.5143132e-11,7.9325546e-12,1.2645927999999998e-11,27.58594799041748,-1.08748e-06,2.38346194301644,2.7790077564888875,7.294437231029536e-06,11.628653400522307,22.761748877452646,-16.336262404143838,17.03638122144406,20.770736922561696
317215.0,1800.0,2.2621660000000004e-11,3.7016205999999986e-11,8.884681799999999e-12,1.4536139999999999e-11,30.2214674949646,-1.08779e-06,2.5461418325639986,2.5464948741550364,8.167644306345894e-06,13.363002050028038,22.75874292785022,-16.334358020491834,17.029370078377042,20.77474467568817
330852.0,1900.0,2.0123392e-11,3.1830604e-11,8.822154000000001e-12,1.3212917999999998e-11,32.87826228141785,-1.09149e-06,2.281006656650972,2.409051808237969,8.082670477970481e-06,12.105395376961766,22.754969968518594,-16.331749025802537,16.99269068140785,20.77244656001585
344489.0,2000.0,2.2807110000000002e-11,3.2115964e-11,9.092160400000001e-12,1.3024418000000002e-11,35.51276397705078,-1.0877e-06,2.5084368287211474,2.465827187057417,8.359069964144527e-06,11.974274156476973,22.740175179929963,-16.33978329480459,16.983473113254547,20.776612591598905
358127.0,2100.0,2.0806222e-11,3.256299599999999e-11,1.0840806e-11,1.426047e-11,38.17845678329468,-1.09107e-06,1.9192504690149423,2.2834447952977706,9.935939948857543e-06,13.070169649976627,22.72437565183958,-16.325677094386037,16.97296934159732,20.7690550428714
371764.0,2200.0,2.6802494e-11,4.675188e-11,1.1913726000000001e-11,1.9330646000000004e-11,40.82476472854614,-1.0907e-06,2.2497154962267887,2.418536866279585,1.092300907673971e-05,17.72315577152288,22.70985618741048,-16.340653426422364,16.957671992256678,20.775438152662502
385401.0,2300.0,3.676796600000001e-11,6.340043599999999e-11,1.7104297999999997e-11,2.8747436e-11,43.45980954170227,-1.08131e-06,2.149633150685285,2.2054292424548745,1.581812616178524e-05,26.58574876769844,22.706989405428146,-16.355450086489043,16.95211365119178,20.77508161260721
399038.0,2400.0,4.7002622e-11,8.334117e-11,2.174414e-11,3.7376816e-11,46.108402490615845,-1.08938e-06,2.1616224877139314,2.229755739493701,1.996010574822376e-05,34.31017275881695,22.71914877793688,-16.33933733699547,16.930148054718472,20.76841777178896
117192.0,1100.0,9.321665799999999e-12,1.4583452e-11,5.1301462e-12,6.4537222e-12,59.597832918167114,-1.08698e-06,1.8170370661171409,2.259696272640926,4.719632559936705e-06,5.937296178402547,22.738989175158963,-16.33663354818981,16.94803808168865,20.784546681691495
129203.0,1200.0,1.1611032e-11,1.7037358e-11,5.22678e-12,7.4148472e-12,62.18157505989075,-1.08707e-06,2.2214503001848174,2.2977355487514295,4.808135630640162e-06,6.820947317100096,22.74873872299122,-16.329858447106915,16.952310649035383,20.77326572099679
140447.0,1300.0,1.1454002e-11,1.7213936e-11,6.0765892000000004e-12,8.289574000000001e-12,64.7512137889862,-1.08807e-06,1.8849393340593106,2.0765766733007025,5.584741055262989e-06,7.618603582490099,22.746265606064185,-16.329075167429153,16.973005189142327,20.782813555772407
262667.0,1400.0,3.3617420000000006e-11,4.807584999999999e-11,1.3835744e-11,2.3593124e-11,71.35838484764099,-1.0878e-06,2.429751518964214,2.0377059858626603,1.271901452472881e-05,21.688843537414968,22.78807693463682,-16.33698605242006,16.999605399992333,20.785923397715237
276257.0,1500.0,6.5656202e-12,6.7739107999999994e-12,3.6211229999999995e-12,3.8899716e-12,74.01610040664673,-1.0872e-06,1.8131447619978667,1.7413779576179937,3.330687086092715e-06,3.577972406181016,22.794053117618034,-16.314530798707437,17.00060188674678,20.76943123787254
289837.0,1600.0,9.6247122e-12,1.5926104e-11,4.3762606e-12,5.9895508e-12,76.64676284790039,-1.08921e-06,2.1993005169756112,2.6589813713575983,4.017829986871219e-06,5.498986237731935,22.801297962235594,-16.327047952429098,17.023568400507088,20.78094105972673
303532.0,1700.0,1.8486301999999997e-11,3.5438172e-11,7.9091066e-12,1.2449233999999999e-11,79.31030917167664,-1.08583e-06,2.337343891660279,2.846614659183047,7.283927134081763e-06,11.465177790261826,22.80573248120254,-16.32480769978207,17.03537523837406,20.774915890827913
317215.0,1800.0,2.1637557999999998e-11,3.5947048e-11,8.247325200000001e-12,1.3572035999999997e-11,81.95922565460205,-1.0873e-06,2.6235849169619256,2.64861130636553,7.585142279039825e-06,12.482328704129495,22.821176276789686,-16.316163632350083,17.053085547613478,20.771483423568554
330852.0,1900.0,2.1445002e-11,3.213011599999999e-11,8.208245e-12,1.3508703999999999e-11,84.61853194236755,-1.09008e-06,2.6126171916164784,2.3784750927994276,7.529947343314252e-06,12.392396888301775,22.815252659069472,-16.302754421987117,17.048511402521626,20.767161491118543
344489.0,2000.0,2.213494e-11,3.3536786e-11,9.1141872e-12,1.3817903999999999e-11,87.2539119720459,-1.09149e-06,2.42862468306554,2.427053046540199,8.350225105131517e-06,12.659670725338756,22.828068515795053,-16.311566488534424,17.054617340867082,20.767548600906707
358127.0,2100.0,2.22472e-11,3.8372214000000004e-11,8.7916006e-12,1.4787226e-11,89.88032579421997,-1.08192e-06,2.530506219766171,2.5949568904945393,8.125924837326235e-06,13.667578009464656,22.8246616127347,-16.32407543121724,17.071391264252554,20.77712474126872
371764.0,2200.0,2.6869995999999998e-11,4.500472e-11,1.1839119999999999e-11,2.0266444000000004e-11,92.51603746414185,-1.09172e-06,2.269594023880153,2.2206520295321663,1.0844465613893673e-05,18.5637745942183,22.828050957918492,-16.30488821197696,17.06358664264218,20.766266346564123
385401.0,2300.0,3.6611648e-11,6.252126999999999e-11,1.7117083999999998e-11,2.948354999999999e-11,95.15184092521667,-1.09208e-06,2.138895152936096,2.1205475595713543,1.5673837081532488e-05,26.997610065196685,22.8175161952866,-16.31490425723115,17.044479670250894,20.775932709809183
399038.0,2400.0,4.6699934e-11,7.949517999999999e-11,2.0915648000000002e-11,3.770315e-11,97.7877824306488,-1.08625e-06,2.2327749061372613,2.1084492940245045,1.925491185270426e-05,34.70945914844649,22.80058895573103,-16.30679111710333,17.03963256909492,20.781210260589603
117192.0,1100.0,9.2470586e-12,1.4987272e-11,4.7173210000000005e-12,8.490739799999998e-12,111.27362418174744,-1.0902e-06,1.9602351843344983,1.7651314671072598,4.327023481929922e-06,7.788240506329114,22.80166980090479,-16.31972227830539,17.003578904650055,20.777880073873177
129203.0,1200.0,1.2302392e-11,1.7321228e-11,5.3155976e-12,8.4706232e-12,113.84795618057251,-1.09019e-06,2.3143949045352867,2.044858753721922,4.8758451279134826e-06,7.769859565763766,22.801089237401925,-16.30785659749307,17.00269590247524,20.776320302552847
140447.0,1300.0,1.0905464e-11,1.8976745999999998e-11,4.942562999999999e-12,9.2268572e-12,116.3836772441864,-1.08531e-06,2.2064390479190656,2.056685780289306,4.554056444702434e-06,8.50158682772664,22.805267297293142,-16.307685857421518,17.023681634500804,20.77739778375974
262667.0,1400.0,3.3372992e-11,4.5415991999999997e-11,1.4885971999999998e-11,2.3375567999999998e-11,122.9688789844513,-1.08968e-06,2.2419088253021036,1.942882928021257,1.3660865575214739e-05,21.45177299757727,22.81807704563232,-16.305218642034106,17.027513812960365,20.774636486821805
276257.0,1500.0,7.303891e-12,6.711325800000001e-12,2.8091445999999997e-12,2.5404762e-12,125.61486887931824,-1.08941e-06,2.6000409519680834,2.6417589741639778,2.578592632709448e-06,2.331974371448766,22.810092094885533,-16.295649624022076,17.031079314014164,20.77598311395792
289837.0,1600.0,8.5912278e-12,1.6221517999999997e-11,5.4328376e-12,5.218788199999999e-12,128.2509536743164,-1.08832e-06,1.5813518519309322,3.1082920743938223,4.991948691561305e-06,4.7952699573654805,22.82337526463317,-16.32553569526368,17.04813682767076,20.78286950679967
303532.0,1700.0,1.8583644e-11,3.6628031999999995e-11,7.5829674e-12,1.3448358e-11,130.87935304641724,-1.08918e-06,2.4507086763949424,2.7236062573587048,6.9620883600506805e-06,12.347231862502067,22.81616327762464,-16.316154018942314,17.05307011343797,20.783410162517725
317215.0,1800.0,2.1746272e-11,3.6832922e-11,9.770018e-12,1.3915508000000002e-11,133.51432371139526,-1.08745e-06,2.225816984165229,2.646897403961105,8.984337670697502e-06,12.796457768173251,22.814644660097315,-16.319311671361163,17.065580754703035,20.777609167163064
330852.0,1900.0,2.1414445999999998e-11,3.0215224e-11,8.4128816e-12,1.2951401999999998e-11,136.14921140670776,-1.08934e-06,2.545435323849084,2.332969357294292,7.722916261222392e-06,11.889219160225457,22.834268532083854,-16.29440453421836,17.07210492122465,20.77336341082787
344489.0,2000.0,2.1563664e-11,3.2576406e-11,8.680756e-12,1.3659208e-11,138.78271293640137,-1.08856e-06,2.4840767324873547,2.3849410595402016,7.974531491144263e-06,12.547960608510325,22.848807579852462,-16.309082427050555,17.088086291706986,20.77606915526451
358127.0,2100.0,2.4550073999999996e-11,3.3750618e-11,1.0636878e-11,1.6167878000000004e-11,141.45002245903015,-1.08945e-06,2.308015002146306,2.087510680127596,9.763530221671486e-06,14.840403873514163,22.829206290790353,-16.293600841035413,17.07769078193172,20.769195527700106
371764.0,2200.0,2.6808178000000004e-11,4.2348587999999994e-11,1.2066489999999998e-11,1.7766026000000004e-11,144.115793466568,-1.08806e-06,2.2217047376660495,2.383683779366302,1.1089912321011707e-05,16.328167564288737,22.809821454010034,-16.305215503153818,17.055863500234807,20.775307307668925
385401.0,2300.0,3.6850388000000005e-11,5.7287748e-11,1.5963164e-11,2.7302023999999994e-11,146.76185607910156,-1.08814e-06,2.3084639110391905,2.0982967416628164,1.4670138033708897e-05,25.09054349624129,22.8083907423636,-16.30125080974608,17.063867029297512,20.778625207635002
399038.0,2400.0,4.590981e-11,7.7133348e-11,2.1319234e-11,3.7971371999999996e-11,149.39686226844788,-1.08688e-06,2.1534455693858416,2.0313553063081313,1.9615076181363167e-05,34.9361217429707,22.82888367595143,-16.319421872720227,17.07799468356717,20.779419760146425
117192.0,1100.0,1.1682443999999999e-11,1.2943205999999999e-11,4.143557599999999e-12,6.764783600000001e-12,162.87693405151367,-1.08929e-06,2.8194235793898463,1.9133215140836137,3.8039067649569898e-06,6.210268707139513,22.809486001029654,-16.31498471617607,17.04007254810773,20.77642973142133
129203.0,1200.0,1.1370158e-11,1.7599132e-11,6.0886684000000004e-12,9.261875e-12,165.46693801879883,-1.08641e-06,1.8674293380798992,1.9001694581280788,5.604392816708242e-06,8.525211476330298,22.813025934135908,-16.33064964578972,17.041068463792158,20.781073771676517
140447.0,1300.0,1.2293866e-11,1.8459675999999994e-11,4.2419678e-12,8.36706e-12,167.99695086479187,-1.08888e-06,2.8981516549937036,2.2062320576164143,3.895716516053193e-06,7.68409742120344,22.803715599290058,-16.31309138776402,17.045989861919338,20.781791966745402
